Trial,Trial_Type,Trial_OnsetTime,ISI_Onset,pain_DisplayOnset,pain_RT,pain_Rating,vibration_DisplayOnset,vibration_RT,vibration_Rating,difficulty_DisplayOnset,difficulty_RT,difficulty_Rating,difference_DisplayOnset,difference_RT,difference_Rating,ITI_Onset
1,greenbox,97.6921,3.0325,33.6248,1.5337,20,NaN,NaN,NaN,28.6094,1.4424,16,NaN,NaN,NaN,38.6402
3,greenbox,193.8679,3.0326,33.6249,0.161,82,NaN,NaN,NaN,28.6095,2.2182,79,NaN,NaN,NaN,38.6403
4,greenbox,243.1888,3.0326,NaN,NaN,NaN,33.6249,2.3964,56,28.6095,1.7868,67,NaN,NaN,NaN,38.6403
7,greenbox,385.8863,3.0326,33.6249,1.3751,85,NaN,NaN,NaN,28.6095,2.515,67,NaN,NaN,NaN,38.6403
8,greenbox,435.1906,3.0326,NaN,NaN,NaN,33.6249,2.1909,9,28.6095,3.5285,44,NaN,NaN,NaN,38.6403
12,greenbox,627.2091,3.03249999999991,NaN,NaN,NaN,33.6248999999999,1.5453,44,28.6094999999999,1.9871,19,NaN,NaN,NaN,38.6402999999999
13,greenbox,673.8807,3.0326,33.6248999999999,2.6247,27,NaN,NaN,NaN,28.6094999999999,1.8091,26,NaN,NaN,NaN,38.6402999999999
16,greenbox,819.2109,3.03249999999991,NaN,NaN,NaN,33.6248999999999,0.123,28,28.6093999999999,0.9952,24,NaN,NaN,NaN,38.6402999999999
17,greenbox,865.8825,3.03249999999991,33.6248999999999,2.1194,17,NaN,NaN,NaN,28.6094999999999,1.4849,18,NaN,NaN,NaN,38.6402999999999
20,greenbox,1011.2293,3.0326,NaN,NaN,NaN,33.6249,1.0962,16,28.6095,2.3581,60,NaN,NaN,NaN,38.6403
23,greenbox,1153.9268,3.0326,33.6249,1.1118,7,NaN,NaN,NaN,28.6095,2.1052,48,NaN,NaN,NaN,38.6403
24,greenbox,1203.2311,3.0326,NaN,NaN,NaN,33.6249,0.7743,21,28.6095,1.7189,84,NaN,NaN,NaN,38.6403
27,greenbox,1345.9286,3.0326,33.6249,0.6861,30,NaN,NaN,NaN,28.6095,2.4348,39,NaN,NaN,NaN,38.6403
29,greenbox,1441.9378,3.0326,33.6249,1.4776,19,NaN,NaN,NaN,28.6095,1.4879,17,NaN,NaN,NaN,38.6403
30,greenbox,1491.2588,3.03250000000003,NaN,NaN,NaN,33.6249,0.7099,17,28.6095,0.6088,81,NaN,NaN,NaN,38.6403
32,greenbox,1587.2513,3.0326,NaN,NaN,NaN,33.6249,0.6469,10,28.6095,1.8836,9,NaN,NaN,NaN,38.6403
2,redbox,147.1796,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262,1.3636,8,33.6416,2.0981,67,38.657
5,redbox,289.8605,3.03249999999997,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,0.7434,87,33.6415,1.6707,13,38.6569
6,redbox,339.1981,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,1.5584,84,33.6415,1.1768,12,38.6569
9,redbox,481.8622,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262,1.3239,95,33.6416,1.4783,2,38.657
10,redbox,531.1999,3.03250000000003,NaN,NaN,NaN,NaN,NaN,NaN,28.6261000000001,1.4783,50,33.6415000000001,1.8997,27,38.6569000000001
11,redbox,577.8881,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262,1.8889,25,33.6416,1.8889,49,38.657
14,redbox,723.2183,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,1.5303,10,33.6416,0.8085,67,38.657
15,redbox,769.9066,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,1.7066,80,33.6415,2.4737,10,38.6569
18,redbox,915.2201,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,2.1194,50,33.6415,2.1194,49,38.6569
19,redbox,961.9084,3.03250000000003,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,2.1358,59,33.6415,0.8372,17,38.6569
21,redbox,1057.9009,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261999999999,3.7412,40,33.6415999999999,1.2645,36,38.6569999999999
22,redbox,1107.2385,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262000000002,0.7327,5,33.6416000000002,0.627,89,38.6570000000002
25,redbox,1249.9027,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,1.1708,30,33.6415999999999,0.0472,61,38.6569999999999
26,redbox,1299.2403,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262000000002,1.3351,6,33.6416000000002,0.4865,94,38.6570000000002
28,redbox,1395.2495,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6262000000002,1.9794,73,33.6416000000002,0.6197,19,38.6570000000002
31,redbox,1537.9304,3.0326,NaN,NaN,NaN,NaN,NaN,NaN,28.6261,2.9739,45,33.6415,2.0278,38,38.6569
